year,title,abstract,doi,url,source
2001,Facilitating System-of-Systems Evolution with Architecture Support,"The evolution of system-of-systems (SOS) is an emerging challenge and requires systematic architecture capabilities and support. This paper discusses the features of SOS evolution and introduces a key concept, Architecture Evolution Environment, to facilitate the evolution. We argue that an architecture solution for specific evolution requirements can be reached only when its evolution environment is addressed.",10.1145/602461.602489,https://dl.acm.org/doi/abs/10.1145/602461.602489,acm; googlescholar; scopus
2005,Systems of Systems and Coordinated Atomic Actions,"System of systems (SoS) is an emerging field in the design and development of complex systems that are built from large scale component systems. A SoS has the following attributes: operational and managerial independence of components, a geographic extent that limits control mechanisms to information exchange, an evolutionary nature, and emergent behavior. The subsystems that comprise the SoS often are built by different organizations with conflicting goals, designed under different assumptions and built to different quality standards. These factors impact fault detection, fault isolation, and fault tolerance and can result in systems that cannot easily be debugged, integrated, or maintained. When fault detection and fault tolerance are deficient, the system may behave in a fragile or brittle manner, randomly and repeatedly crashing. Crashes prevent automated diagnosis algorithms from being executed and can prevent manual root cause analysis by erasing system state. Fragility during system integration can prevent achieving schedule milestones and deadlines. Deficient fault detection and fault isolation also impacts end users and system maintainers. (Think <insert name="""" of="""" infamous="""" project="""" here="""">).From the system architect's point of view, designing a system that can detect all possible fault conditions across all components can be an extremely difficult, if not impossible challenge. Can any system be trusted to diagnose or repair itself when it has been corrupted by faults? How do you prevent local faults from growing into global failures? The end users may have unreasonable expectations about how the system should behave when components within the SoS behave abnormally or fail. They may expect better behavior than the typical PC. The system maintainers may expect a coherent systems view of failures to isolate faulted components and to provide an orderly and safe shutdown or recovery.(Think power grid blackouts, Telecomm failures, etc.)The most beneficial way to achieve fault tolerance is to design in fault detection and fault reporting such that defined boundaries such as subsystems serve as natural firewalls for fault containment. Although partitioning the system into subsystems for fault containment is well known and practiced, the end result as experienced at the time of system integration is rarely a success. COTS middleware, intended to aid distributed design often becomes in effect a step backwards by providing fertile ground for faults and failures that breach fault containment boundaries. (Think <insert name="""" of="""" os="""" or="""" middleware="""" vendor="""" here="""">)What can be done to improve this situation? This paper addresses the system architectural partitioning concept of the Coordinated Atomic Actions (CAA). CAA promotes a different manner of organizing software architecture that improves fault containment across potentially faulty components. CAA was first invented by members of Brian Randell's research group at the University of Newcastle at Tyne in the mid 1990's. CAA promotes the concept of the ""transaction"" which has been traditionally identified with database applications. When you access your bank account via ATM, you are exercising database transactions within your bank's financial SoS. CAA applies transactions to cooperating concurrent distributed processes, which are the basis for most large complex computing systems.",10.1145/1039174.1039196,https://dl.acm.org/doi/abs/10.1145/1039174.1039196,acm; googlescholar
2005,A Government Perspective on Digital Data Embedding: Taking a Systems Approach,"This talk will focus on the maturity of Digital Data Embedding technologies - watermarking, steganography, steganalysis, and digital data forensics. As individual methods and small systems, these algorithms have shown great potential for application to many commercial and military needs in the areas of information assurance, communication and protection. However, one largely ignored aspect of data embedding development has been the systems perspective - how these technologies will contribute and interact with other critical technologies in the development of large scale system solutions. As the military moves toward network-centric, fully integrated systems it is expected that digital data embedding technologies will play crucial roles. Data embedding provides a range of enabling technologies which can help achieve data-centric, as opposed to application-centric, information assurance.The current state of the art in digital data embedding techniques and how they have matured in recent years will be addressed. The technology will be traced through the development of standalone algorithms to the small, integrated systems that are appearing today. Applications involving digital data embedding technologies integrated with other technologies, such as biometrics and cryptography, provide the first glimpses into the systems of the future. A projection as to how these integrated systems will evolve into the net-centric, system-of-systems will be presented. This challenge will require maintaining a strong connection from research through development and use, to ensure future architectures and the needs of users are addressed. While many open questions remain, the discussion will provide perspective and illustrate some challenges to be investigated as the field moves forward.",10.1145/1073170.1073172,,acm; scopus
2008,CPS-IP: Cyber Physical Systems Interconnection Protocol,"As sensing, wireless communication, and embedded computing technologies evolve, more and more special-purpose cyber physical systems are emerging in our daily lives, such as mobile tracking and health care system, emplaced environmental monitoring systems, and building maintenance control systems. In these systems, heterogeneity is a fundamental research issue. To enable standard communication between these systems, we propose a new communication construct: CPS-IP and a framework combined with it. The goal is to facilitate the creation of systems of systems where there is an integration of myriads of physical data sources, actuators, and computing elements. Different from the Internet Protocol which is designed for a large scale, general-purpose systems, CPS-IP is designed for special- purpose CPS systems built on critical infrastructure which requires global regulation and performance assurance for cyber physical interaction. The novelty of our design is that we address heterogeneity of CPS systems at three different levels: function interoperability, policy regulation, and performance assurance.",10.1145/1366283.1366305,https://dl.acm.org/doi/abs/10.1145/1366283.1366305,acm; googlescholar
2008,Process Evolution to Support System of Systems Engineering,"One of the current research areas at the University of Southern California (USC) Center for Systems and Software Engineering (CSSE) is the development of large scale, software intensive systems of systems (SoS). These SoS are a type of Ultra-Large-Scale Software-Intensive System (ULSSIS) that have become increasingly prevalent in both government and commercial sectors. Research activities have focused on cost estimation and risk assessment associated with the development and evolution of these systems. As part of this research, USC CSSE has teamed with others to learn how SoS engineering processes are evolving to support the development of these systems. This paper highlights the findings of these research activities.",10.1145/1370700.1370704,https://dl.acm.org/doi/abs/10.1145/1370700.1370704,acm; scopus; googlescholar
2008,System of Systems Complexity: Modeling and Simulation Issues,"Capability-based acquisition changes the general approach to systems engineering. Instead of buying threat-based, service-specific systems, a mobile target-weapon pairing system, for example, and then identifying how to integrate that system with other similar threat-based systems, we now identify the warfighting capabilities we want to achieve. Then we start with a 'blank sheet of paper' to develop the systems architecture and technical standards necessary to allow seamless interaction using shared data and applications. [1] Capability-based acquisition focuses on the development of alternative system of systems (SoS) architectures that link (i.e., network) diverse interoperable systems to optimize overarching capability effectiveness while minimizing development costs.It is up to the systems architect and engineer to find the best solution by examining inter-relationships between various configurations of warfighters, platforms, sensors, weapons, command and control, communications, while considering external factors that potentially impact full capability effectiveness and sustainment, such as operational doctrine, joint operations, government and societal organizations, terrorism, and public opinion. The emergence of asymmetric warfare, military-operations-other-than-war, effects-based and network-centric operations, national crisis response (and other homeland security missions), and other large scale problems where many diverse systems (often human individual and organizational decision-making systems) interact in complex ways, serves to complicate the process of developing an effectively interoperable system.It is a complex undertaking to integrate a complex system of systems. Accordingly, the concept of system of systems has become increasingly important to systems engineering. One needs to understand the nature of the complexity of system of systems to gain insight into the design of robust, interoperable systems that integrate seamlessly into a system of systems environment.Complexity - regardless of whether a system is hardware, software, or people - is generally a function of the number of entities (nodes) in the system, the number of relations (interfaces, interactions, networks), and time dependence (of interactions). Added complexity emerges when systems are capable of adapting their behavior to meet changing environmental conditions (complex adaptive systems) and when systems are capable of learning or evolving new behaviors. This paper explores a set of metrics that define the complexity of a system of systems simulation and presents preliminary work underway to apply these ideas for improving the quality and efficiency of the systems engineering process.",,,acm; scopus
2008,USAF Coalition Distributed Mission Operations (DMO): Achieving Multinational Full Mission Training in Integrated LVC Environments,"Contemporary military leaders face numerous obstacles to establishing secure and cost-effective systems and processes to train and mission rehearse coalition operations in operationally realistic conditions. This paper examines the U. S. Air Force Distributed Mission Operations (DMO) program and the critical elements and lessons learned through its ongoing efforts to establish routine coalition training capabilities using high-fidelity mission simulators in an integrated Live/Virtual/Constructive (LVC) simulation-based training architecture.The DMO vision remains to provide warfighters routine in-garrison access to multiple, simultaneous, and large/small training or mission rehearsal events within a true joint force environment. Over the past several years, the Air Force has been working with a variety of international partners, joint and combatant commands, research laboratories, and technical communications and security experts to begin the careful expansion of DMO training to establish baseline coalition training capabilities within the national and international technical security environment that such systems must operate. This baseline requires the ability for technically non-standard high-fidelity virtual full mission simulators to inter-operate within operationally realistic and computer generated environments, at appropriate levels of national and multi-national security classification and releasability using as-yet undeveloped and unapproved cross-domain solutions, procedures and standards. The implementation of the USAF coalition DMO vision both complements and complicates corresponding efforts to expand the larger Joint National Training Capabilities (JNTC) systems and networks to accommodate persistent coalition distributed LVC training capabilities and holds valuable lessons for the NATO's Project SNOW LEOPARD.This paper proposes three key elements, each with technical, policy, and contractual implications that are necessary to achieve the legal, security, and funding authority to operate through which the successful establishment of coalition training operations may be achieved. It will outline many of these efforts and examine many of the policy and technical wickets that must be run to make such complex international systems-of-systems work. It will also discuss impacts to exercise planning and scenario generation that often complicate the achievement of robust training objectives within coalition training events. Finally, this paper highlights the potential need for new training processes required by the identification and evolution of coalition DMO/JNTC technical capabilities and their potential impacts on simulator/simulation design, training system architectures, and professional control force functions.",,,acm; scopus
2009,Towards Self-Adaptive Software-Intensive Systems,"With the rapid growth of web services and socio-technical ecosystems, the management complexity of these modern, decentralized, distributed computing systems presents significant challenges for businesses and often exceeds the capabilities of human operators. The simultaneous explosion of information and integration of technology and the continuous evolution from software intensive systems to systems of systems to ULS systems requires new and innovative approaches for evolving, running, and managing software systems. A consequence of this continuous evolution is that software systems must become more versatile, flexible, resilient, dependable, robust, continuously available, energy-efficient, recoverable, customizable, self-healing, configurable, or self-optimizing by adapting to changing contexts and environments. One of the most promising approaches to achieving such properties is to equip software systems with self-adaptation and self-management mechanisms. Autonomic computing constitutes an effective set of technologies, models, architecture patterns, standards, and processes to cope with and reign in the management complexity of dynamic computing systems using feedback control, adaptation, and self-management. At the core of such systems are control loops which sense their environment, model their behavior in that environment, and take action to change the environment or their own behavior. Computer science researchers often approach the design of such highly dynamic systems from a software architecture perspective whereas engineering researchers start with a feedback control perspective.",10.1145/1595808.1595811,,acm; webofscience
2009,Data-Flow Integration Testing Adapted to Runtime Evolution in Component-Based Systems,"Systems of Systems are large-scale information centric component-based systems. Because they can be more easily expressed as an information flow, they are built following the data-flow paradigm. These systems present high availability requirements that make their runtime evolution necessary. This means that integration and system testing will have to be performed at runtime as well. Already existing techniques for runtime integration and testing are usually focused on component-based systems which follow the client-server paradigm, and are not well suited for data-flow systems. In this paper we present virtual components, a way of defining units of data-flow behaviour that greatly simplifies the definition and maintenance of integration tests when the system evolves at runtime. We present and discuss an example of how to use virtual components for thispurpose.",10.1145/1596495.1596499,https://dl.acm.org/doi/abs/10.1145/1596495.1596499,acm; scopus; googlescholar; webofscience
2012,Modeling Kanban Processes in Systems Engineering,"Systems engineering processes using pull scheduling methods (kanban) are being evaluated with hybrid modeling and simulation. We are assessing integrated systems and software engineering at the enterprise level, where rapid response software development projects incrementally evolve capabilities of existing systems and/or systems of systems. A kanban-based scheduling system was defined and implemented with connected discrete, continuous and agent-based models. We are simulating the process performance vs. traditional methods of sharing systems engineering services across projects, and whether the overall value of the systems of systems over time is increased.",10.1109/ICSSP.2012.6225976,https://ieeexplore.ieee.org/abstract/document/6225976/,acm; googlescholar; ieeeexplore; scopus
