year,title,abstract,doi,url,source
2001,On the systems engineering and management of systems of systems and federations of systems,… systems from a true system of systems is evolutionary development. A system of systems may not appear fully formed and functional initially. Its development is evolutionary in the sense …,,https://content.iospress.com/articles/information-knowledge-systems-management/iks00045,googlescholar
2015,"Systems of Systems Engineering: Basic Concepts, Model-Based Techniques, and Research Directions","The term “System of Systems” (SoS) has been used since the 1950s to describe systems that are composed of independent constituent systems, which act jointly towards a common goal through the synergism between them. Examples of SoS arise in areas such as power grid technology, transport, production, and military enterprises. SoS engineering is challenged by the independence, heterogeneity, evolution, and emergence properties found in SoS. This article focuses on the role of model-based techniques within the SoS engineering field. A review of existing attempts to define and classify SoS is used to identify several dimensions that characterise SoS applications. The SoS field is exemplified by a series of representative systems selected from the literature on SoS applications. Within the area of model-based techniques the survey specifically reviews the state of the art for SoS modelling, architectural description, simulation, verification, and testing. Finally, the identified dimensions of SoS characteristics are used to identify research challenges and future research areas of model-based SoS engineering.",10.1145/2794381,https://dl.acm.org/doi/abs/10.1145/2794381,acm; scopus; webofscience; googlescholar
2022,Coevolutionary Network Model for Efficient Collaboration in Systems-of-Systems,"Collaborative systems-of-systems (CSoSs) are defined by the Systems Engineering Body of Knowledge as groups of constituent systems that voluntarily work with each other toward a common goal. As the complexity and sociotechnical interactions of real systems increases, so too does our need to understand how to design and manage collaboration. The metric of collaboration efficiency (CE) is introduced as a measure of collaboration in any defined CSoS structure. To test the effect of constituent system parameters on CE, an agent-based model is developed that combines network evolution mechanisms (to model a system-of-systems) with evolutionary game theory (to model collaboration). Simulation results suggest that a reactive collaboration strategy or a reinforcement algorithm-based strategy converges to the highest CE in a CSoS, with 29.6% and 34.1%, respectively. The proposed approach and results allow conclusions about the best collaboration choices constituent systems should make when participating in CSoSs. Applicable to systems in energy, logistics, social organizations, infrastructure, and more, this research can improve the design and operation of systems in any CSoS.",10.1109/SOSE55472.2022.9812631,,ieeeexplore; scopus
2022,Reinforcement Learning based System-of-Systems Approach for UAV Swarms Behavioral Evolution,"Advances in Unmanned Aerial Vehicle (UAV) technologies have enabled the development of biologically inspired swarms or fleets of UAVs that collaboratively achieve common mission objectives such as in surveillance and remote sensing applications. Typically, such swarms comprise of homogeneous UAVs that are developed using same techniques to serve the same purpose. However, the recent proliferation of UAV development by numerous research and commercial entities, using varied machine learning models to serve diverse purposes, has induced the need to rethink swarm development using heterogeneous UAVs that can adapt and achieve common objectives despite differences in their design and associated intelligence. In this paper, we present a novel approach to develop swarms of heterogeneous UAVs as System-of-Systems (SoS), and enabling behavioral evolution and adaptation of constituent UAVs through Reinforcement Learning (RL) algorithms. The proposed approach involves SoS-Constituent System Measures Of Effectiveness Relationship (SSMR) model that correlates the Measures Of Effectiveness (MOEs) for the SoS with the MOEs of the constituent system UAVs. By formulating the SSMR as the reward mechanism of RL, our approach incorporates an Intelligent-Behavior Evolution Agent with the necessary constraints to learn to maximize the SoS and system-level MOEs, while adapting itself to the evolution in the swarm SoS. The initial experimental results indicate that our approach adequately trains these independent agents to be used in heterogeneous swarms.",10.1109/SysCon53536.2022.9773900,,ieeeexplore; scopus; webofscience
2022,Preliminary Evolutionary Network Model for Efficient Collaboration in Systems-of-Systems,"Collaborative systems-of-systems (CSoSs) are defined by the Systems Engineering Body of Knowledge as groups of constituent systems that voluntarily work with each other toward a common goal. As the complexity, sociotechnical interactions, and cooperation of real systems increases, so too does our need to understand how to design and manage collaboration across disciplines. An agent-based model is developed that combines network evolution mechanisms with evolutionary game theory to simulate CSoSs. Collaboration efficiency (CE) is introduced as a metric by which collaboration may be measured and performance compared. Cost and strategy parameters of constituent systems are tested via CSoS model simulation to develop insights into best collaboration practices for CSoSs. Results suggest a reactive collaboration strategy or a reinforcement algorithm-based strategy produce the highest CE under certain conditions. Applicable to systems in sociotechnical enterprises, logistics, energy, infrastructure, and more, this research can improve the design and operation of any CSoS. © 2022 The authors and IOS Press.",10.3233/ATDE220663,,scopus
2022,Research on Architecture of System-of-Systems Evolution Method Based on Bi-level Multi-objective Programming Model,"In the life cycle, the System-of-Systems is faced with challenges from internal and external uncertain factors, making it adapt to the environment through evolution. Studying Architecture of System-of-Systems evolution method is order to cope with the challenges of high-level mission change, replacement of old and new systems, and technical iterative update. An architecture evolution process is proposed to analyze evolutionary motivations and requirements. A bi-level multi-objective programming model is constructed to solve the Pareto optimal solution set that meets the evolutionary requirements. The genetic algorithm is used to solve the model, and the TOPSIS algorithm is used to sort the solution set. The effectiveness and rationality of the method are verified by combining the evolution case of Public Health Prevention Architecture of System-of-Systems. © 2022, Chinese Institute of Command and Control.",10.1007/978-981-19-6052-9_21,,scopus; springerlink
2021,Communication Oriented Modeling of Evolving Systems of Systems,"Systems of Systems (SoSs) are composed of systems characterized by operational and managerial independence, but that can perform tasks together that they could not do by themselves. Given their potential complexity, modeling and testing such systems can be a daunting task, which is repeated when any system is evolved into a new one, especially when SoSs pertain to different owners. We propose a framework for modeling SoSs using only observable communication properties and dataflow. In this paper, we propose a framework that supports SoS design and discuss how it can support the creation of complex use cases pertaining to multiple owners. We implemented a proof-of-concept for the framework that focuses on REST-based communication and combines design using the model-based engineering tool Papyrus, and verification of communication properties using the Uppaal model checker. We showcase our approach by designing a Bluetooth-driven tracker system, which uses smart devices' Bluetooth-IDs to analyze patterns in the stores that people visit.",10.1109/SOSE52739.2021.9497495,,ieeeexplore; scopus; webofscience
2021,Evolving Remote Sensing Applications as System-of-Systems,"There has been significant expansion in the functionality and differentiation of modern remote sensing applications due to the exponential growth in adoption of Unmanned Aerial Vehicles (UAVs). With recent advancements of new technologies such as Artificial Intelligence - Machine Learning (AI-ML) and Cloud Computing, many opportunities have emerged to significantly evolve UAV based remote sensing applications. This paper presents a novel approach to evolve remote sensing application as a System-of-Systems (SoS). Bringing in the SoS perspective provides additional insights into the dynamics of the interactions between the various constituent systems (e.g. swarm UAVs, Ground stations) and the impact on the overall remote sensing application. Systematically analyzing the relationships between the various Measures-of-Effectiveness (MOEs) of the SoS vis-a-vis the constituent systems, in tandem with the evolution of the MOEs, would enable optimal leverage of the recent technology advancements for remote sensing applications",10.1109/IGARSS47720.2021.9553649,,ieeeexplore; scopus
2021,Deriving patterns coping with the error among evolved controllable/uncontrollable constituent systems within the open System-of-Systems,"The previous study does not clarify how to satisfy the interoperability of open System of Systems (SoS) in runtime assurance. Therefore, the purpose of this study is to propose the patterns coping with evolving open SoS, which deal with setting interfaces and functions on the sending side and the receiving side within the open SoS, in order dynamically to set the acceptable interoperability of the open SoS in runtime assurance. Concretely, in order to cope with evolving interfaces and functions on the sending side and the receiving side within the open SoS, we derive those patterns for continuously working open SoS which evolves in runtime which adopts the four axes. The evaluation method shows the results actually applied to the combination information systems which cooperate among Product Lifecycle Management, Enterprise Resource Planning and Manufacturing Execution Systems in one company of the manufacturing industry in Japan, as open SoS.",10.1109/IIAI-AAI53430.2021.00107,,ieeeexplore; scopus
2021,Improved system-of-systems optimization design method for evolutionary architecture; [改进的体系进化架构优化设计方法],"In view of the complexity, independence and evolution of the system-of-systems (SoS), a set of process methods is proposed to optimize the design of SoS. The evolutionary architecture of the SoS is improved by introducing the requirements analysis method of joint capabilities integration and development system(JCIDS), which improves the capability of evolutionary architecture obtaining requirements. In addition, in the process of evolutionary algorithm optimization SoS-level, system-level and subsystem-level design variables are incorporated into the evolutionary architecture, which is realized with the integrated coding pattern. Finally, the feasibility of the optimization design method is verified by taking the maritime rescue as an application case. © 2021, Editorial Office of Systems Engineering and Electronics. All right reserved.",10.12305/j.issn.1001-506X.2021.05.14,,scopus
