year,title,abstract,doi,url,source
2001,On the systems engineering and management of systems of systems and federations of systems,… systems from a true system of systems is evolutionary development. A system of systems may not appear fully formed and functional initially. Its development is evolutionary in the sense …,,https://content.iospress.com/articles/information-knowledge-systems-management/iks00045,googlescholar
2022,Reinforcement Learning based System-of-Systems Approach for UAV Swarms Behavioral Evolution,"Advances in Unmanned Aerial Vehicle (UAV) technologies have enabled the development of biologically inspired swarms or fleets of UAVs that collaboratively achieve common mission objectives such as in surveillance and remote sensing applications. Typically, such swarms comprise of homogeneous UAVs that are developed using same techniques to serve the same purpose. However, the recent proliferation of UAV development by numerous research and commercial entities, using varied machine learning models to serve diverse purposes, has induced the need to rethink swarm development using heterogeneous UAVs that can adapt and achieve common objectives despite differences in their design and associated intelligence. In this paper, we present a novel approach to develop swarms of heterogeneous UAVs as System-of-Systems (SoS), and enabling behavioral evolution and adaptation of constituent UAVs through Reinforcement Learning (RL) algorithms. The proposed approach involves SoS-Constituent System Measures Of Effectiveness Relationship (SSMR) model that correlates the Measures Of Effectiveness (MOEs) for the SoS with the MOEs of the constituent system UAVs. By formulating the SSMR as the reward mechanism of RL, our approach incorporates an Intelligent-Behavior Evolution Agent with the necessary constraints to learn to maximize the SoS and system-level MOEs, while adapting itself to the evolution in the swarm SoS. The initial experimental results indicate that our approach adequately trains these independent agents to be used in heterogeneous swarms.",10.1109/SysCon53536.2022.9773900,,ieeeexplore; scopus; webofscience
2022,Research on Architecture of System-of-Systems Evolution Method Based on Bi-level Multi-objective Programming Model,"In the life cycle, the System-of-Systems is faced with challenges from internal and external uncertain factors, making it adapt to the environment through evolution. Studying Architecture of System-of-Systems evolution method is order to cope with the challenges of high-level mission change, replacement of old and new systems, and technical iterative update. An architecture evolution process is proposed to analyze evolutionary motivations and requirements. A bi-level multi-objective programming model is constructed to solve the Pareto optimal solution set that meets the evolutionary requirements. The genetic algorithm is used to solve the model, and the TOPSIS algorithm is used to sort the solution set. The effectiveness and rationality of the method are verified by combining the evolution case of Public Health Prevention Architecture of System-of-Systems. © 2022, Chinese Institute of Command and Control.",10.1007/978-981-19-6052-9_21,,scopus; springerlink
2020,Architectural Models Enabled Dynamic Optimization for System-of-Systems Evolution,"System of Systems (SoS) is designed to deliver value to participant stakeholders in a dynamic and uncertain environment where new systems are added and current systems are removed continuously and on their own volition. This requires effective evolution management at the SoS architectural level with adequate support of process, methods, and tools. This paper follows the principle of Model-Based Systems Engineering (MBSE) and develops a holistic framework integrating MBSE conceptual representations and approximate dynamic programming (ADP) to support the SoS evolution. The conceptual models provide a common architectural representation to improve communication between various decision makers while the dynamic optimization method suggests evolution planning decisions from the analytical perspective. The Department of Defense Architecture Framework (DoDAF) models using Systems Modeling Language (SysML) are used as MBSE artifacts to connect with ADP modeling elements through DoDAF metamodels to increase information traceability and reduce unnecessary information loss. Using a surface warfare SoS as an example, this paper demonstrates and explains the procedures of developing DoDAF models, mapping DoDAF models to ADP elements, formulating ADP formulation, and generating evolutionary decisions. The effectiveness of using ADP in supporting evolution to achieve a near-optimal solution that can maximize the SoS capability over time is illustrated by comparing ADP solution to other alternative solutions. The entire framework also sheds light on bridging the DoDAF-based conceptual models and other mathematical optimization methods. © 2020 Zhemei Fang et al.",10.1155/2020/7534819,https://www.hindawi.com/journals/complexity/2020/7534819/,scopus; webofscience; googlescholar
2020,System-of-Systems Design Optimization Based on Coevolutionary Game,"The design optimization of the system of systems (SoS) is of great significance but extremely difficult. A collaborative optimization method based on coevolutionary game is proposed to solve this problem. More specifically, it first provides a standardized design decision model for a large number of heterogeneous systems within an SoS in order to reduce the organizational complexity of the design process significantly, and then uses different game models to describe the collaborative interactions between heterogeneous systems and effectively deal with various coupling constraints and objective conflicts in the evolutionary design process of the SoS. Then, the multi-attribute utility theory, experimental design method, response surface modeling technology and differential evolution algorithm are combined to find a satisfactory global optimal solution with the least information exchange and iterative process. Finally, the design of the over-the-horizon amphibious operation equipment SoS is used as an illustrative example to demonstrate the effectiveness of the proposed method.",10.1109/ICECTT50890.2020.00092,,ieeeexplore; scopus; webofscience
2015,Flexible and Intelligent Learning Architectures for SoS (FILA-SoS): Architectural Evolution in Systems-of-Systems,"The dynamic planning for a system-of-systems is a challenging endeavor. Department of Defense (DoD) programs constantly face challenges to incorporate new systems and upgrade existing systems over a period of time under threats, constrained budget, and uncertainty. It is therefore necessary for the DoD to be able to look at the future scenarios and critically assess the impact of technology and stakeholder changes. The DoD currently is looking for options that signify affordable acquisition selections and lessen the cycle time for early acquisition and new technology addition. This paper gives an overview of a novel methodology known as the Flexible Intelligent & Learning Architectures in System-of-Systems (FILA-SoS). This approach allows for analyzing sequential decisions in evolving SoS architectures. An ISR SoS example illustrates an application of the method.",10.1016/j.procs.2015.03.005,https://www.sciencedirect.com/science/article/pii/S1877050915002410,sciencedirect; scopus; webofscience; googlescholar
2017,Understanding evolution in systems of systems,"Based on a literature analysis, this paper examines the nature of evolution in Systems of Systems (SoS) by attempting to answer why, where and how change occurs in this new kind of complex systems as well as what unprecedented underlying challenges makes it difficult to manage. This paper gives special focus on how state-of-the-art research efforts are attempting to solve those challenges and ultimately aims to provide research directions towards making evolution in systems of systems a disciplined activity.",10.1109/SysEng.2017.8088283,,ieeeexplore; scopus; webofscience
2017,An Event-Based Capture-and-Compare Approach to Support the Evolution of Systems of Systems,"Industrial software systems are often systems of systems (SoS) that evolve continuously to meet new customer requirements or to address technological changes. Despite thorough testing of the different contributing parts, the full behavior of SoS only emerges at runtime. The systems in the SoS and their interactions thus need to be continuously monitored and checked during operation to determine compliance with requirements. In particular, after changes to one system, it is necessary to check whether the overall SoS still behaves correctly and as intended. Based on an existing monitoring framework we have been developing support for capturing and comparing event traces in SoS. Our approach facilitates and partly automates the identification of differences in event traces, which often indicate undesirable behavior introduced during evolution. In this paper we motivate the need for monitoring and evolution support in SoS using an industrial example and describe our event-based capture-and-compare approach. We evaluate the applicability and scalability of our tool-supported approach, demonstrating that it can cope with comparing event traces from an industrial SoS. We present our experiences and findings intended for researchers and practitioners working on maintenance and evolution of large-scale software systems.",10.1145/3093742.3093909,,acm; scopus
2015,Interoperability as a key concept for the control and evolution of the system of systems (Sos),"A coalition of enterprises wanting to collaborate, and more generally a Collaborative Network of Organizations (CNO), can conceptually be assimilated as a System of Systems (SoS) presenting a number of characteristics to respect all over its life cycle. Interoperability is one of these characteristics (both functional and non-functional), which is from our point of view, essential in order to guarantee the control of the SoS, its behavior and the fulfillment of its mission(s). Moreover, it ensures the reaction of the SoS to deal with some risky situations and with potential local or global deficits during its functioning. In this paper, we propose to determine the relation between the current level of interoperability of the SoS and its functioning whatever may be its situation. A matrix shows how this relation evolves taking into account several characteristics of the SoS, particularly its capacity to respect interoperability requirements (Compatibility, Interoperation, Autonomy and Reversibility) and the so-called analysis perspectives of the SoS: Performance, Integrity and Stability. This relation is requested in order to permit and to guide SoS behavioral simulation currently in development. Thus, a set of indicators is derived and formalized. © IFIP International Federation for Information Processing 2015.",10.1007/978-3-662-47157-9_5,https://link.springer.com/chapter/10.1007/978-3-662-47157-9_5,scopus; springerlink; webofscience; googlescholar
2017,Enabling Flexibility through Forming and Evolving Systems of Systems,"Flexibility is a highly desired attribute of many systems operating in changing or uncertain conditions. This paper presents a study of enabling flexibility through designing and operating systems of systems (SoSs). The paper analyzes flexibility mechanisms of SoSs and, accordingly, identifies needs for flexibility that SoSs can meet. Following that, it proposes a hierarchical network as a more flexible SoS architecture for complex or distributed large-scale systems. Then, decision problems for forming and evolving a SoS network are defined. A case that involves integrating distributed renewable energy sources with the main grid is presented to illustrate the implementation of the proposed methodology. Results from this study support the idea of acquiring and maintaining flexibility with SoSs. The paper also identifies research needs for advancing this particular use of SoSs.",10.1016/j.procs.2017.09.059,,sciencedirect; scopus; webofscience
2016,Interfaces in evolving cyber-physical systems-of-systems,"In the past twenty years the view on how we engineer, operate and evolve independently owned and managed Cyber-Physical Systems (CPSs) in order to realize and optimize complex economical processes has started to change. Advances in telecommunications and automation accompanied by standardization efforts resulted in sophisticated cross-domain information and communication technologies (e.g., the Internet of Things (IoT) [2, 9], elastic processing and storage clouds, Web Services) that allow for the integration of more and more existing and previously technologically isolated CPSs. These legacy systems became cooperating Constituent Systems (CSs) of evolving Cyber-Physical Systems-of-Systems (CPSoSs) and – by their physical and cyber interaction – give rise to new emergent services that cannot be realized by any single or small number of CSs alone. © The Author(s) 2016.",10.1007/978-3-319-47590-5_2,,scopus; springerlink
2014,An Analytic Workbench Perspective to Evolution of System of Systems Architectures,"The development of a large group of interdependently operating systems, or ‘System of Systems (SoS)’, presents significant challenges across technical, operational and programmatic dimensions. Trades between cost, schedule, performance, and associated spectrum of risks, are essential during analysis of alternatives for both individual systems and the SoS architecture as a whole. The large number of decision variables involved, ubiquitous uncertainty and complex interactions that exist between systems creates analysis problems that go well beyond the immediate mental faculties of decision-makers. Often times, the decisions made focus on localized development at the systems level with little consideration for cascading effects on the bigger SoS picture. Hence, the process of evolving SoS architectures requires tools that provides the SoS practitioner with meaningful analytical quantifications of the SoS tradespace. In the defense arena, existing tools for such trades, have been guided by policies set forth in the Defense Acquisitions Guidebook (DAG) (5000 series) and the System Engineering Guide for System of Systems (SoS-SE), but are lacking an analytic perspective towards more informed decision-making. This paper discusses a multidisciplinary effort, funded by the DoD's Systems Engineering research Center (SERC), to establish an analytic workbench of computational tools to facilitate better-informed decision-making on SoS architectures. The work is motivated by the idea that SoS practitioners possess relevant information and archetypal questions that reflect desired outcomes at the SoS level. These archetypal, technically -driven queries are mapped to relevant methods that can provide analytical outputs to directly support SoS acquisition and architectural decisions. The applicability and respective value-added of each method in addressing various archetypal measures are presented.",10.1016/j.procs.2014.03.084,https://www.sciencedirect.com/science/article/pii/S1877050914001471,sciencedirect; scopus; webofscience; googlescholar
2014,Dynamic Planning of System of Systems Architecture Evolution,"The dynamic planning and development of a large collection of systems or a ‘System of Systems’ (SoS) pose significant programmatic challenges due to the complex interactions that exist between its constituent systems. Decisions to add, remove, or reconstitute connections between systems can result in repercussive failures across operational and developmental dimensions of an SoS. The work conducted in this research is part of a larger body of work funded by the DoD Systems Engineering Research Center (SERC) towards the development of an Analytic Workbench. This paper in particular develops a tool that adopts an operations research-based perspective to SoS level planning based on metrics of cost, performance, schedule and risk. Specifically, our work employs an Approximate Dynamic Programming approach that is well suited to address issues of computational tractability of the resulting dynamic planning optimization problem. This approach allows for identification of near-optimal multi-stage decisions in evolving SoS architectures. A Naval Warfare Scenario SoS example problem illustrates application of the method.",10.1016/j.procs.2014.03.055,https://www.sciencedirect.com/science/article/pii/S1877050914001185,sciencedirect; scopus; webofscience; googlescholar
